cons_standings_ID,race_ID,constructor_ID,cumul_points,cumul_position
2141,199,20,0,11
2142,199,24,5,5
2143,199,25,0,10
2144,199,18,0,9
2145,199,21,4,6
2146,200,1,102,1
2147,200,3,20,4
2148,200,6,90,2
2149,200,15,4,7
2150,200,22,32,3
2151,200,17,3,8
2152,200,20,0,11
2153,200,24,5,5
2154,200,25,0,10
2155,200,18,0,9
2156,200,21,4,6
2157,201,1,118,1
2158,201,3,24,4
2159,201,6,92,2
2160,201,15,4,8
2161,201,22,32,3
2162,201,17,7,5
2163,201,20,0,11
2164,201,24,5,6
2165,201,25,0,10
2166,201,18,0,9
2167,201,21,4,7
2168,202,1,125,1
2169,202,3,30,4
2170,202,6,102,2
2171,202,15,4,8
2172,202,22,32,3
2173,202,17,10,5
2174,202,20,0,11
2175,202,24,5,6
2176,202,25,0,10
2177,202,18,0,9
2178,202,21,4,7
2179,203,1,125,1
2180,203,3,33,3
2181,203,6,102,2
2182,203,15,8,6
2183,203,22,32,4
2184,203,17,26,5
2185,203,20,1,9
2186,203,24,5,8
2187,203,25,0,11
2188,203,18,0,10
2189,203,21,6,7
2190,204,1,128,1
2191,204,3,33,3
2192,204,6,118,2
2193,204,15,10,6
2194,204,22,32,4
2195,204,17,31,5
2196,204,20,1,9
2197,204,24,5,8
2198,204,25,0,11
2199,204,18,0,10
2200,204,21,6,7
2201,205,1,142,1
2202,205,3,35,3
2203,205,6,127,2
2204,205,15,10,6
2205,205,22,33,4
2206,205,17,31,5
2207,205,20,1,9
2208,205,24,5,8
2209,205,25,0,11
2210,205,18,0,10
2211,205,21,6,7
2212,206,1,156,1
2213,206,3,38,3
2214,206,6,133,2
2215,206,15,10,6
2216,206,22,33,5
2217,206,17,34,4
2218,206,20,1,9
2219,206,24,5,8
2220,206,25,0,11
2221,206,18,0,10
2222,206,21,6,7
2418,224,3,16,1
2419,224,6,4,2
2420,224,22,3,3
2421,224,1,2,4
2422,224,25,1,5
2423,224,27,0,6
2424,224,15,0,7
2425,224,29,0,8
2426,225,3,26,1
2427,225,6,8,3
2428,225,22,9,2
2429,225,1,5,4
2430,225,25,3,5
2431,225,27,1,6
2432,225,15,0,7
2433,225,29,0,8
2434,225,18,0,9
2435,225,28,0,10
2436,225,17,0,11
2437,226,3,42,1
2438,226,6,10,3
2439,226,22,13,2
2440,226,1,5,4
2441,226,25,3,6
2442,226,27,1,7
2443,226,15,0,9
2444,226,29,1,8
2445,226,18,0,11
2446,226,28,0,10
2447,226,17,3,5
2448,227,3,55,1
2449,227,6,16,2
2450,227,22,13,3
2451,227,1,9,4
2452,227,25,3,6
2453,227,27,1,7
2454,227,15,0,9
2455,227,29,1,8
2456,227,18,0,11
2457,227,28,0,10
2458,227,17,6,5
2459,228,3,65,1
2460,228,6,25,2
2461,228,22,18,3
2462,228,1,9,4
2463,228,25,3,6
2464,228,27,1,7
2465,228,15,0,9
2466,228,29,1,8
2467,228,18,0,10
2468,228,28,0,11
2469,228,17,8,5
2470,229,3,65,1
2471,229,6,25,2
2472,229,22,18,3
2473,229,1,16,4
2474,229,25,5,8
2475,229,27,11,5
2476,229,15,7,7
2477,229,29,1,9
2478,229,18,0,10
2479,229,28,0,11
2480,229,17,8,6
2481,230,3,69,1
2482,230,6,35,2
2483,230,22,24,3
2484,230,1,18,4
2485,230,25,5,8
2486,230,27,12,5
2487,230,15,10,6
2488,230,29,1,9
2489,230,18,0,10
2490,230,28,0,11
2491,230,17,8,7
2492,231,3,85,1
2493,231,6,35,2
2494,231,22,28,3
2495,231,1,23,4
2496,231,25,5,8
2497,231,27,12,5
2498,231,15,10,6
2499,231,29,1,9
2500,231,18,0,10
2501,231,28,0,11
2502,231,17,9,7
2503,232,3,101,1
2504,232,6,35,2
2505,232,22,35,3
2506,232,1,26,4
2507,232,25,5,8
2508,232,27,12,5
2509,232,15,10,6
2510,232,29,1,9
2511,232,18,0,10
2512,232,28,0,11
2513,232,17,9,7
2514,233,3,111,1
2515,233,6,35,3
2516,233,22,41,2
2517,233,1,32,4
