year,constructor_ID,constructor_name,entries,races,points,points_per_race,avg_starting_position,avg_finish_position,avg_position_change,q3_starts,q3_rate,issues,issue_rate,podiums,wins,final_constructor_position,final_constructor_points,is_mclaren
1959,66,BRM,22,7,22.0,3.1429,8.1818,9.0909,-0.9091,0,0.0,10,0.4545,2,1,3,18,0
1959,170,Cooper-Climax,49,8,97.0,12.125,6.0,10.4898,-4.4898,0,0.0,23,0.4694,13,5,1,40,0
1959,6,Ferrari,29,7,67.0,9.5714,6.8276,7.3448,-0.5172,0,0.0,11,0.3793,9,2,2,32,0
1959,167,Cooper-Maserati,12,7,0.0,0.0,14.8333,13.6667,1.1667,0,0.0,7,0.5833,0,0,6,0,0
1959,95,Porsche,4,3,0.0,0.0,10.5,13.0,-2.5,0,0.0,2,0.5,0,0,8,0,0
1959,105,Maserati,9,5,0.0,0.0,11.1111,15.5556,-4.4444,0,0.0,5,0.5556,0,0,9,0,0
1959,107,Watson,4,1,14.0,14.0,7.75,10.5,-2.75,0,0.0,2,0.5,2,1,,,0
1959,108,Epperly,4,1,5.0,5.0,15.5,12.0,3.5,0,0.0,1,0.25,0,0,,,0
1959,109,Phillips,1,1,0.0,0.0,10.0,24.0,-14.0,0,0.0,1,1.0,0,0,,,0
1959,110,Lesovsky,2,1,5.0,5.0,11.5,17.5,-6.0,0,0.0,1,0.5,1,0,,,0
1959,113,Kurtis Kraft,13,2,0.0,0.0,20.0769,18.4615,1.6154,0,0.0,7,0.5385,0,0,7,0,0
1959,119,Moore,1,1,0.0,0.0,7.0,12.0,-5.0,0,0.0,0,0.0,0,0,,,0
1959,114,Kuzma,5,1,0.0,0.0,17.2,15.4,1.8,0,0.0,3,0.6,0,0,,,0
1959,120,Dunn,1,1,0.0,0.0,23.0,13.0,10.0,0,0.0,0,0.0,0,0,,,0
1959,121,Elder,1,1,0.0,0.0,32.0,23.0,9.0,0,0.0,1,1.0,0,0,,,0
1959,115,Christensen,1,1,0.0,0.0,14.0,27.0,-13.0,0,0.0,1,1.0,0,0,,,0
1959,122,Sutton,1,1,0.0,0.0,31.0,30.0,1.0,0,0.0,1,1.0,0,0,,,0
