race_ID,constructor_ID,year,round,circuit_name,constructor_name,entries,points,avg_starting_position,avg_finish_position,avg_position_change,q3_starts,q3_rate,issues,issue_rate,podiums,wins,is_miami,is_mclaren,is_2026_current_form
13,9,2009,13,Italian Grand Prix,Red Bull,2,1.0,9.5,14.0,-4.5,2,1.0,1,0.5,0,0,0,0,0
13,23,2009,13,Italian Grand Prix,Brawn,2,18.0,5.5,1.5,4.0,2,1.0,0,0.0,2,1,0,0,0
13,5,2009,13,Italian Grand Prix,Toro Rosso,2,0.0,19.5,15.5,4.0,0,0.0,1,0.5,0,0,0,0,0
14,1,2009,14,Singapore Grand Prix,McLaren,2,12.0,4.5,4.0,0.5,2,1.0,0,0.0,1,1,0,1,0
14,2,2009,14,Singapore Grand Prix,BMW Sauber,2,1.0,13.5,13.5,0.0,2,1.0,1,0.5,0,0,0,0,0
14,3,2009,14,Singapore Grand Prix,Williams,2,0.0,6.5,10.0,-3.5,1,0.5,0,0.0,0,0,0,0,0
14,4,2009,14,Singapore Grand Prix,Renault,2,6.0,11.5,11.5,0.0,1,0.5,1,0.5,1,0,0,0,0
14,6,2009,14,Singapore Grand Prix,Ferrari,2,0.0,14.5,11.5,3.0,0,0.0,0,0.0,0,0,0,0,0
14,7,2009,14,Singapore Grand Prix,Toyota,2,8.0,10.0,7.0,3.0,1,0.5,0,0.0,1,0,0,0,0
14,10,2009,14,Singapore Grand Prix,Force India,2,0.0,17.0,16.0,1.0,0,0.0,1,0.5,0,0,0,0,0
14,9,2009,14,Singapore Grand Prix,Red Bull,2,5.0,3.0,10.5,-7.5,2,1.0,1,0.5,0,0,0,0,0
14,23,2009,14,Singapore Grand Prix,Brawn,2,7.0,10.0,5.5,4.5,1,0.5,0,0.0,0,0,0,0,0
14,5,2009,14,Singapore Grand Prix,Toro Rosso,2,0.0,14.5,15.5,-1.0,0,0.0,2,1.0,0,0,0,0,0
15,1,2009,15,Japanese Grand Prix,McLaren,2,6.0,7.0,7.0,0.0,1,0.5,0,0.0,1,0,0,1,0
15,2,2009,15,Japanese Grand Prix,BMW Sauber,2,3.0,6.5,7.5,-1.0,1,0.5,0,0.0,0,0,0,0,0
15,3,2009,15,Japanese Grand Prix,Williams,2,4.0,11.0,10.0,1.0,0,0.0,0,0.0,0,0,0,0,0
15,4,2009,15,Japanese Grand Prix,Renault,2,0.0,16.5,13.0,3.5,0,0.0,0,0.0,0,0,0,0,0
15,6,2009,15,Japanese Grand Prix,Ferrari,2,5.0,9.5,8.0,1.5,1,0.5,0,0.0,0,0,0,0,0
15,7,2009,15,Japanese Grand Prix,Toyota,2,8.0,11.0,11.0,0.0,1,0.5,1,0.5,1,0,0,0,0
15,10,2009,15,Japanese Grand Prix,Force India,2,0.0,13.0,13.5,-0.5,1,0.5,0,0.0,0,0,0,0,0
15,9,2009,15,Japanese Grand Prix,Red Bull,2,10.0,10.0,9.0,1.0,1,0.5,0,0.0,1,1,0,0,0
15,23,2009,15,Japanese Grand Prix,Brawn,2,3.0,8.0,7.5,0.5,2,1.0,0,0.0,0,0,0,0,0
15,5,2009,15,Japanese Grand Prix,Toro Rosso,2,0.0,12.5,18.5,-6.0,0,0.0,2,1.0,0,0,0,0,0
16,1,2009,16,Brazilian Grand Prix,McLaren,2,6.0,16.5,6.0,10.5,0,0.0,0,0.0,1,0,0,1,0
16,2,2009,16,Brazilian Grand Prix,BMW Sauber,2,8.0,13.0,9.5,3.5,1,0.5,1,0.5,1,0,0,0,0
16,3,2009,16,Brazilian Grand Prix,Williams,2,0.0,8.0,15.5,-7.5,2,1.0,2,1.0,0,0,0,0,0
16,4,2009,16,Brazilian Grand Prix,Renault,2,0.0,11.5,16.5,-5.0,1,0.5,1,0.5,0,0,0,0,0
16,6,2009,16,Brazilian Grand Prix,Ferrari,2,3.0,12.0,8.5,3.5,1,0.5,0,0.0,0,0,0,0,0
16,7,2009,16,Brazilian Grand Prix,Toyota,2,0.0,7.5,14.5,-7.0,1,0.5,1,0.5,0,0,0,0,0
16,10,2009,16,Brazilian Grand Prix,Force India,2,0.0,11.5,15.0,-3.5,1,0.5,1,0.5,0,0,0,0,0
16,9,2009,16,Brazilian Grand Prix,Red Bull,2,15.0,8.5,2.5,6.0,1,0.5,0,0.0,1,1,0,0,0
16,23,2009,16,Brazilian Grand Prix,Brawn,2,5.0,7.5,6.5,1.0,1,0.5,0,0.0,0,0,0,0,0
